LocationCode,RegistrarOffice
1000,กรุงเทพมหานคร
1001,ท้องถิ่นเขตพระนคร
1002,ท้องถิ่นเขตดุสิต
1003,ท้องถิ่นเขตหนองจอก
1004,ท้องถิ่นเขตบางรัก
1005,ท้องถิ่นเขตบางเขน
1006,ท้องถิ่นเขตบางกะปิ
1007,ท้องถิ่นเขตปทุมวัน
1008,ท้องถิ่นเขตป้อมปราบศัตรูพ่าย
1009,ท้องถิ่นเขตพระโขนง
1010,ท้องถิ่นเขตมีนบุรี
1011,ท้องถิ่นเขตลาดกระบัง
1012,ท้องถิ่นเขตยานนาวา
1013,ท้องถิ่นเขตสัมพันธวงศ์
1014,ท้องถิ่นเขตพญาไท
1015,ท้องถิ่นเขตธนบุรี
1016,ท้องถิ่นเขตบางกอกใหญ่
1017,ท้องถิ่นเขตห้วยขวาง
1018,ท้องถิ่นเขตคลองสาน
1019,ท้องถิ่นเขตตลิ่งชัน
1020,ท้องถิ่นเขตบางกอกน้อย
1021,ท้องถิ่นเขตบางขุนเทียน
1022,ท้องถิ่นเขตภาษีเจริญ
1023,ท้องถิ่นเขตหนองแขม
1024,ท้องถิ่นเขตราษฎร์บูรณะ
1025,ท้องถิ่นเขตบางพลัด
1026,ท้องถิ่นเขตดินแดง
1027,ท้องถิ่นเขตบึงกุ่ม
1028,ท้องถิ่นเขตสาทร
1029,ท้องถิ่นเขตบางซื่อ
1030,ท้องถิ่นเขตจตุจักร
1031,ท้องถิ่นเขตบางคอแหลม
1032,ท้องถิ่นเขตประเวศ
1033,ท้องถิ่นเขตคลองเตย
1034,ท้องถิ่นเขตสวนหลวง
1035,ท้องถิ่นเขตจอมทอง
1036,ท้องถิ่นเขตดอนเมือง
1037,ท้องถิ่นเขตราชเทวี
1038,ท้องถิ่นเขตลาดพร้าว
1039,ท้องถิ่นเขตวัฒนา
1040,ท้องถิ่นเขตบางแค
1041,ท้องถิ่นเขตหลักสี่
1042,ท้องถิ่นเขตสายไหม
1043,ท้องถิ่นเขตคันนายาว
1044,ท้องถิ่นเขตสะพานสูง
1045,ท้องถิ่นเขตวังทองหลาง
1046,ท้องถิ่นเขตคลองสามวา
1047,ท้องถิ่นเขตบางนา
1048,ท้องถิ่นเขตทวีวัฒนา
1049,ท้องถิ่นเขตทุ่งครุ
1050,ท้องถิ่นเขตบางบอน
1098,สำนักงานปกครองและทะเบียน
1099,สำนักทะเบียนกลาง
1100,จังหวัดสมุทรปราการ
